"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Teamlease Services Limited","16768900","5306531","    31.65","11462369","84050","     1.58","     0.50","23.035","12-Jun-2024 11:30:40","188833","16767999","1.13","51.752","12-Jun-2024 11:30:40"
"Tech Mahindra Limited","976758523","342699332","    35.09","634059191",,,,,"12-Jun-2024 11:30:29","8114363","976687966","0.83","1012.754","12-Jun-2024 11:30:29"
"Techindia Nirman Limited","14326000","2638827","    18.42","11687173","0","     0.00","     0.00",,"12-Jun-2024 11:30:37","250698","13531010","1.85",,"12-Jun-2024 11:30:37"
"Technocraft Industries (India) Limited","22961687","17132736","    74.61","5828951","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","547596","22961687","2.38","108.265","12-Jun-2024 11:30:31"
"Technofab Engineering Limited","10490000","5058026","    48.22","5431974","1221405","    24.15","    11.64",,"12-Jun-2024 11:30:36","1250449","10489993","11.92",,"12-Jun-2024 11:30:36"
"Tembo Global Industries Limited","11103746","6153750","    55.42","4949996","610560","     9.92","     5.50","15.343","12-Jun-2024 11:30:41","1001861","11103746","9.02","25.177","12-Jun-2024 11:30:41"
"Tera Software Limited","12511875","5947327","    47.53","6564548","1082420","    18.20","     8.65",,"12-Jun-2024 11:30:40","1356341","12464452","10.88",,"12-Jun-2024 11:30:40"
"Texmaco Infrastructure & Holdings Limited","127426590","83042219","    65.17","44384371","0","     0.00","     0.00","0","12-Jun-2024 11:30:26","7479334","126857284","5.9","70.979","12-Jun-2024 11:30:26"
"Texmaco Rail & Engineering Limited","399467302","192300517","    48.14","207166785","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","22552693","398770916","5.66","371.668","12-Jun-2024 11:30:37"
"Texmo Pipes and Products Limited","29195000","12914955","    44.24","16280045","0","     0.00","     0.00","0","12-Jun-2024 11:30:35","1197578","29194887","4.1","9.251","12-Jun-2024 11:30:35"
"Thangamayil Jewellery Limited","27439164","18473189","    67.32","8965975","440000","     2.38","     1.60","56.663","12-Jun-2024 11:30:35","910169","27439164","3.32","117.212","12-Jun-2024 11:30:35"
