"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Honeywell Automation India Limited","8841523","6631142","    75.00","2210381","0","     0.00","     0.00","0","12-Jun-2024 11:30:10","84321","8812066","0.96","326.215","12-Jun-2024 11:30:10"
"Housing Development and Infrastructure Limited","454003986","178351266","    39.28","275652720","0","     0.00","     0.00",,"12-Jun-2024 11:30:32","8092761","473965993","1.71",,"12-Jun-2024 11:30:32"
"Hubtown Limited","79935871","38251585","    47.85","41684286","25658025","    67.08","    32.10",,"12-Jun-2024 11:30:31","28915926","79935854","36.17",,"12-Jun-2024 11:30:31"
"Huhtamaki India Limited","75521934","51153997","    67.73","24367937","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","3728877","75266171","4.95","111.549","12-Jun-2024 11:30:15"
"ICDS Limited","13026700","6694572","    51.39","6332128","0","     0.00","     0.00",,"12-Jun-2024 11:30:22","12691","11164276","0.11",,"12-Jun-2024 11:30:22"
"ICICI Bank Limited","7022335643","1374664201","    19.58","5647671442","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","46202497","7021680012","0.66","5051.319","12-Jun-2024 11:30:21"
"ICRA Limited","9651231","5037572","    52.20","4613659","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","53382","9651190","0.55","29.062","12-Jun-2024 11:30:31"
"ICSA (India) Limited","54154917","2983485","     5.51","51171432","0","     0.00","     0.00",,"12-Jun-2024 11:30:30","4571984","47473453","9.63",,"12-Jun-2024 11:30:30"
"IDBI Bank Limited","10752402175","10183974842","    94.71","568427333","0","     0.00","     0.00","0","12-Jun-2024 11:30:14","108106979","10746376088","1.01","875.667","12-Jun-2024 11:30:14"
"IDFC Limited","1599984436","0","     0.00","1599984436","0",,"     0.00","0","12-Jun-2024 11:30:28","128969030","1599945130","8.06","1427.687","12-Jun-2024 11:30:28"
"IFB Agro Industries Limited","9367111","6088680","    65.00","3278431","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","95833","8982836","1.07","3.961","12-Jun-2024 11:30:15"
"IFB Industries Limited","40518796","30373199","    74.96","10145597","0","     0.00","     0.00","0","12-Jun-2024 11:30:06","642366","39885734","1.61","96.737","12-Jun-2024 11:30:06"
"IFCI Limited","2489613863","1750576628","    70.32","739037235","0","     0.00","     0.00","0","12-Jun-2024 11:30:13","78143029","2605826769","3","309.837","12-Jun-2024 11:30:13"
"IG Petrochemicals Limited","30794850","21167142","    68.74","9627708","0","     0.00","     0.00","0","12-Jun-2024 11:30:06","697545","30214896","2.31","30.047","12-Jun-2024 11:30:06"
"IIFL Finance Limited","381548435","94547490","    24.78","287000945",,,,,"12-Jun-2024 11:30:27","11149681","423763058","2.63","379.201","12-Jun-2024 11:30:27"
"IL&FS Engineering and Construction Company Limited","131121078","55400884","    42.25","75720194","0","     0.00","     0.00",,"12-Jun-2024 11:30:33","1932625","128307848","1.51",,"12-Jun-2024 11:30:33"
"IL&FS Investment Managers Limited","314032740","158333152","    50.42","155699588","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","6197360","310280958","2","5.795","12-Jun-2024 11:30:22"
"IL&FS Transportation Networks Limited","328960027","240849000","    73.22","88111027","236582632","    98.23","    71.92",,"12-Jun-2024 11:30:35","1599113","328955880","0.49",,"12-Jun-2024 11:30:35"
"IMP Powers Limited","8636563","1447207","    16.76","7189356","1171751","    80.97","    13.57",,"12-Jun-2024 11:30:19","1435089","8600256","16.69",,"12-Jun-2024 11:30:19"
"INCREDIBLE INDUSTRIES LIMITED","46763750","35054800","    74.96","11708950","23849513","    68.03","    51.00",,"12-Jun-2024 11:30:40","24050640","46763749","51.43",,"12-Jun-2024 11:30:40"
"IOL Chemicals and Pharmaceuticals Limited","58705502","28290077","    48.19","30415425","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","3783338","58228560","6.5","136.749","12-Jun-2024 11:30:36"
"IPCA Laboratories Limited","253704218","117467472","    46.30","136236746","0","     0.00","     0.00","0","12-Jun-2024 11:30:18","2537991","252832480","1","314.051","12-Jun-2024 11:30:18"
"IRB Infrastructure Developers Limited","6039000000","2077055980","    34.39","3961944020","1014552000","    48.85","    16.80","5940.202","12-Jun-2024 11:30:33","132268460","6038999020","2.19","774.432","12-Jun-2024 11:30:33"
"ISMT Limited","300501383","225220861","    74.95","75280522","39999","     0.02","     0.01","0.347","12-Jun-2024 11:30:32","10717629","288496640","3.71","92.975","12-Jun-2024 11:30:32"
"ITC Limited","12484721471","5988831","     0.05","12478732640","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","176155075","11218730520","1.57","7545.603","12-Jun-2024 11:30:15"
"ITD Cementation India Limited","171787584","80113180","    46.64","91674404","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","11481087","171325024","6.7","383.468","12-Jun-2024 11:30:22"
"ITI Limited","960886938","864798247","    90.00","96088691","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","4256724","960302024","0.44","107.567","12-Jun-2024 11:30:11"
"IVP Limited","10326263","7364316","    71.32","2961947","0","     0.00","     0.00",,"12-Jun-2024 11:30:11","141884","10323299","1.37",,"12-Jun-2024 11:30:11"
"IVRCL Limited","782897692","42032166","     5.37","740865526","42032166","   100.00","     5.37",,"12-Jun-2024 11:30:23","50458926","782689950","6.45",,"12-Jun-2024 11:30:23"
"IZMO Limited","14113643","4502194","    31.90","9611449","0","     0.00","     0.00",,"12-Jun-2024 11:30:31","536813","13912273","3.86",,"12-Jun-2024 11:30:31"
"Igarashi Motors India Limited","31475048","23606288","    75.00","7868760","0","     0.00","     0.00","0","12-Jun-2024 11:30:12","1014331","31373851","3.23","41.618","12-Jun-2024 11:30:12"
"Imagicaaworld Entertainment Limited","481900043","341419228","    70.85","140480815","0","     0.00","     0.00","0","12-Jun-2024 11:30:39","20998226","542318391","3.87","162.211","12-Jun-2024 11:30:39"
"Impex Ferro Tech Limited","87931604","60764846","    69.10","27166758","60764846","   100.00","    69.10",,"12-Jun-2024 11:30:27","61295909","87175109","70.31",,"12-Jun-2024 11:30:27"
"Ind-Swift Laboratories Limited","59086860","24818783","    42.00","34268077","12054131","    48.57","    20.40","120.722","12-Jun-2024 11:30:21","11442679","58944010","19.41","114.598","12-Jun-2024 11:30:21"
"Ind-Swift Limited","54164653","30103343","    55.58","24061310","12888400","    42.81","    23.79","23.521","12-Jun-2024 11:30:26","13208795","53475026","24.7","24.106","12-Jun-2024 11:30:26"
"Indbank Merchant Banking Services Limited","44378200","28773800","    64.84","15604400","0","     0.00","     0.00","0","12-Jun-2024 11:30:11","986173","42599401","2.31","4.255","12-Jun-2024 11:30:11"
"India Glycols Limited","30961500","18891032","    61.01","12070468","0","     0.00","     0.00","0","12-Jun-2024 11:30:06","2804587","30509038","9.19","212.321","12-Jun-2024 11:30:06"
"India Motor Parts and Accessories Limited","12480000","3833168","    30.71","8646832","0","     0.00","     0.00","0","12-Jun-2024 11:30:28","83456","11972841","0.7","8.085","12-Jun-2024 11:30:28"
"India Nippon Electricals Limited","22621424","15919122","    70.37","6702302","0","     0.00","     0.00","0","12-Jun-2024 11:30:21","709377","22438429","3.16","48.284","12-Jun-2024 11:30:21"
"Indiabulls Housing Finance Limited","738679544","12600000","     1.71","726079544","0","     0.00","     0.00","0","12-Jun-2024 11:30:38","115528540","492452327","23.46","1944.345","12-Jun-2024 11:30:38"
"Indiabulls Real Estate Limited","541675331","990580","     0.18","540684751","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","167169382","633029751","26.41","1938.329","12-Jun-2024 11:30:31"
"Indian Bank","1346963981","994549600","    73.84","352414381","0","     0.00","     0.00","0","12-Jun-2024 11:30:31","7466896","1345530040","0.55","388.801","12-Jun-2024 11:30:31"
"Indian Card Clothing Company Limited","5941120","4000166","    67.33","1940954","0","     0.00","     0.00","0","12-Jun-2024 11:30:20","109888","5866564","1.87","2.702","12-Jun-2024 11:30:20"
"Indian Hume Pipe Company Limited","52681770","38109370","    72.34","14572400","11694995","    30.69","    22.20","297.872","12-Jun-2024 11:30:15","12740756","52319170","24.35","324.507","12-Jun-2024 11:30:15"
"Indian Metals & Ferro Alloys Limited","53954106","31663712","    58.69","22290394","0","     0.00","     0.00","0","12-Jun-2024 11:30:36","1964799","53777612","3.65","125.669","12-Jun-2024 11:30:36"
"Indian Oil Corporation Limited","14121238383","7272199767","    51.50","6849038616",,,,,"12-Jun-2024 11:30:15","144906171","14106393181","1.03","2430.801","12-Jun-2024 11:30:15"
"Indian Overseas Bank","18902412256","18218326570","    96.38","684085686","0","     0.00","     0.00","0","12-Jun-2024 11:30:23","52002648","18877786737","0.28","311.756","12-Jun-2024 11:30:23"
"Indian Terrain Fashions Limited","44291685","15164040","    34.24","29127645","0","     0.00","     0.00","0","12-Jun-2024 11:30:37","1511334","44290565","3.41","10.768","12-Jun-2024 11:30:37"
"Indo Count Industries Limited","198054340","116346767","    58.74","81707573","0","     0.00","     0.00","0","12-Jun-2024 11:30:15","8786758","196451023","4.47","311.139","12-Jun-2024 11:30:15"
"Indo Rama Synthetics (India) Limited","261113151","195420067","    74.84","65693084","0","     0.00","     0.00","0","12-Jun-2024 11:30:25","4020846","260804861","1.54","15.621","12-Jun-2024 11:30:25"
"Indo Tech Transformers Limited","10620000","7965000","    75.00","2655000","4686000","    58.83","    44.12","463.164","12-Jun-2024 11:30:29","4828005","10618299","45.47","477.2","12-Jun-2024 11:30:29"
"Indo Thai Securities Limited","10000000","7217897","    72.18","2782103","0","     0.00","     0.00",,"12-Jun-2024 11:30:38","180759","10000000","1.81",,"12-Jun-2024 11:30:38"
"Indo-National Limited","7500000","4901366","    65.35","2598634","0","     0.00","     0.00","0","12-Jun-2024 11:30:22","201327","7437002","2.71","11.105","12-Jun-2024 11:30:22"
"Indoco Remedies Limited","92182205","54162854","    58.76","38019351","0","     0.00","     0.00","0","12-Jun-2024 11:30:27","1415179","91741123","1.54","46.51","12-Jun-2024 11:30:27"
"Indosolar Limited","41603691","40000000","    96.15","1603691","0","     0.00","     0.00",,"12-Jun-2024 11:30:36","141186113","372059929","37.95",,"12-Jun-2024 11:30:36"
