"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME","DISSEMINATION","DIFFERENCE"
"SHOPERSTOP","Shoppers Stop Limited","Ravi Chandru Raheja","30-MAY-2024 to 30-MAY-2024","22664",,"1366291","Reg29(2)","06-Jun-2024, 19-03","06-Jun-2024 19:04","00:00:28"
"USHAMART","Usha Martin Limited","Nidhi Rajgarhia","31-MAY-2024 to 31-MAY-2024",,"5250","271000","Reg29(2)","06-Jun-2024, 19-02","06-Jun-2024 19:04","00:01:56"
"SHOPERSTOP","Shoppers Stop Limited","Palm Shelter Estate Development LLP","30-MAY-2024 to 30-MAY-2024","2",,"8977560","Reg29(2)","06-Jun-2024, 19-01","06-Jun-2024 19:02","00:00:23"
"MOLDTECH","Mold-Tek Technologies Limited","Lakshmana Rao Janumahanti","31-MAY-2024 to 31-MAY-2024","0",,"14108718","Reg29(2)","06-Jun-2024, 18-59","06-Jun-2024 19:00","00:00:35"
"MWL","Mangalam Worldwide Limited","Omprakash Mangal","31-MAY-2024 to 31-MAY-2024",,"8400","457400","Reg29(2)","06-Jun-2024, 18-56","06-Jun-2024 18:58","00:01:14"
"RELINFRA","Reliance Infrastructure Limited","Reliance Commercial Finance Ltd","28-MAY-2024 to 28-MAY-2024",,"44341194","4867475","Reg29(2)","06-Jun-2024, 18-56","06-Jun-2024 18:58","00:01:29"
"SHOPERSTOP","Shoppers Stop Limited","Neel Chandra raheja","30-MAY-2024 to 30-MAY-2024","22664",,"2610000","Reg29(2)","06-Jun-2024, 18-53","06-Jun-2024 18:54","00:00:36"
"SHOPERSTOP","Shoppers Stop Limited","K Raheja Corp Private Ltd","30-MAY-2024 to 30-MAY-2024","2645",,"4311458","Reg29(2)","06-Jun-2024, 18-51","06-Jun-2024 18:52","00:00:26"
"SHOPERSTOP","Shoppers Stop Limited","Anbee Constructions LLP","30-MAY-2024 to 30-MAY-2024","2025",,"13333944","Reg29(2)","06-Jun-2024, 18-49","06-Jun-2024 18:50","00:00:13"
"SDBL","Som Distilleries & Breweries Limited","Jagdish Kumar Aroora","03-JUN-2024 to 03-JUN-2024","20000",,"68801171","Reg29(2)","06-Jun-2024, 18-46","06-Jun-2024 18:48","00:01:53"
"LINCOLN","Lincoln Pharmaceuticals Limited","Munjal Mahendrabhai Patel","31-MAY-2024 to 03-JUN-2024","35000",,"2665300","Reg29(2)","06-Jun-2024, 18-41","06-Jun-2024 18:42","00:00:45"
"TEAMLEASE","Teamlease Services Limited","Franklin Templeton Mutual Fund (through its various schemes)","03-JUN-2024 to 03-JUN-2024","6544",,"1575646","Reg29(2)","06-Jun-2024, 18-38","06-Jun-2024 18:40","00:01:49"
