"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HDFCBANK","HDFC Bank Limited","7(2)","Ajay Kapoor","Other","Equity Shares","174510","0",,"2000","3150000","Sell","Equity Shares","172510","0","07-Jun-2024","07-Jun-2024","08-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165597_1156218_11062024060455_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Rinkoo Somani","Other","Equity Shares","52186","0",,"1000","1563435","Sell","Equity Shares","51186","0","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165597_1156218_11062024060455_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Ajay Kapoor","Other","Equity Shares","176510","0",,"2000","3116000","Sell","Equity Shares","174510","0","06-Jun-2024","06-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165597_1156218_11062024060455_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Sujata Mishra","Other","Equity Shares","13700","0",,"13500","21153500","Sell","Equity Shares","200","0","07-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 18:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165597_1156218_11062024060455_WEB.xml"
"AKSHOPTFBR","Aksh Optifibre Limited","7(2)","Dr. Kailash Shantilal Choudhari","Promoters","Equity Shares","17111382","10.52",,"50150","420836","Sell","Equity Shares","17061232","10.49","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","11-Jun-2024 17:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165592_1156210_11062024054948_WEB.xml"
"AKSHOPTFBR","Aksh Optifibre Limited","7(2)","Dr. Kailash Shantilal Choudhari","Promoters","Equity Shares","17307391","10.64",,"48173","404135","Sell","Equity Shares","17259218","10.61","07-Jun-2024","07-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 17:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165592_1156210_11062024054948_WEB.xml"
"AKSHOPTFBR","Aksh Optifibre Limited","7(2)","Dr. Kailash Shantilal Choudhari","Promoters","Equity Shares","17259218","10.61",,"147836","1244342","Sell","Equity Shares","17111382","10.52","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 17:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165592_1156210_11062024054948_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Karunakaran Mohanasundaram","Key Managerial Personnel","Equity Shares","42355","0.04",,"5000","3760000","Sell","Equity Shares","37355","0.04","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 17:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165589_1156206_11062024054403_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Karunakaran Mohanasundaram","Key Managerial Personnel","Equity Shares","44937","0.04",,"2582","1945924","Sell","Equity Shares","42355","0.04","07-Jun-2024","07-Jun-2024","09-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","11-Jun-2024 17:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165589_1156206_11062024054403_WEB.xml"
"UGARSUGAR","The Ugar Sugar Works Limited","7(2)","B G Kulkarni","Other","Equity Shares","500","0",,"1000","75772","Buy","Equity Shares","1500","0","07-Jun-2024","11-Jun-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","11-Jun-2024 17:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165587_1156193_11062024053241_WEB.xml"
"GOODLUCK","Goodluck India Limited","7(2)","REKHA RANI","Promoter Group","Equity Shares","526585","1.66",,"100000","87085000","Pledge","Equity Shares","526585","1.66","10-Jun-2024","10-Jun-2024","11-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","11-Jun-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165585_1156186_11062024052741_WEB.xml"
"GOODLUCK","Goodluck India Limited","7(2)","RAM AGARWAL","Promoter Group","Equity Shares","728956","2.29",,"80000","69668000","Pledge","Equity Shares","728956","2.29","10-Jun-2024","10-Jun-2024","11-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","11-Jun-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165585_1156186_11062024052741_WEB.xml"
"GOODLUCK","Goodluck India Limited","7(2)","MITHLESH GARG","Promoter Group","Equity Shares","715000","2.25",,"80000","69668000","Pledge","Equity Shares","715000","2.25","10-Jun-2024","10-Jun-2024","11-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","11-Jun-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165585_1156186_11062024052741_WEB.xml"
"GOODLUCK","Goodluck India Limited","7(2)","HARSH GARG","Promoter Group","Equity Shares","70000","0.22",,"68000","59217800","Pledge","Equity Shares","70000","0.22","10-Jun-2024","10-Jun-2024","11-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","11-Jun-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165585_1156186_11062024052741_WEB.xml"
"GOODLUCK","Goodluck India Limited","7(2)","ANJU GARG","Promoter Group","Equity Shares","406992","1.28",,"100000","87085000","Pledge","Equity Shares","406992","1.28","10-Jun-2024","10-Jun-2024","11-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","11-Jun-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165585_1156186_11062024052741_WEB.xml"
"GOODLUCK","Goodluck India Limited","7(2)","SHYAM AGRAWAL","Promoter Group","Equity Shares","258706","0.81",,"80000","69668000","Pledge","Equity Shares","258706","0.81","10-Jun-2024","10-Jun-2024","11-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","11-Jun-2024 17:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165585_1156186_11062024052741_WEB.xml"
"BANSWRAS","Banswara Syntex Limited","7(2)","UDIT TOSHNIWAL","Promoter Group","Equity Shares","120740","0.35",,"28224","3979513","Sell","Equity Shares","92516","0.27","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","BSE,NSE","-","11-Jun-2024 17:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165584_1156179_11062024052554_WEB.xml"
"MARCO","Marco Cables & Conductors Limited","7(2)","MANJU SUGNOMAL KUKREJA","Promoter Group","Equity Shares","802500","4.29",,"33000","1437250","Buy","Equity Shares","835500","4.47","04-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","11-Jun-2024 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165582_1156172_11062024052146_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","MITTA MADHAVI","-","Equity Shares","1205983","3.92",,"225000","0","Buy","Equity Shares","1430983","4.65","10-Jun-2024","10-Jun-2024","10-Jun-2024","Gift","-","-","0","0","0","0","NA","-","11-Jun-2024 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165581_1156170_11062024052117_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","A MANOGNA","-","Equity Shares","1186889","3.86",,"225000","0","Buy","Equity Shares","1411889","4.59","10-Jun-2024","10-Jun-2024","10-Jun-2024","Gift","-","-","0","0","0","0","NA","-","11-Jun-2024 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165581_1156170_11062024052117_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","K SHALINI","-","Equity Shares","755483","2.46",,"450000","0","Sell","Equity Shares","305483","0.99","10-Jun-2024","10-Jun-2024","10-Jun-2024","Gift","-","-","0","0","0","0","NA","-","11-Jun-2024 17:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165581_1156170_11062024052117_WEB.xml"
"LAXMICOT","Laxmi Cotspin Limited","7(2)","RAJESH PURANMAL BANSAL","Promoters","Equity Shares","883125","5.15",,"15000","476544","Sell","Equity Shares","868125","5.06","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 17:01","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165576_1156156_11062024050109_WEB.xml"
"TCLCONS","Tantia Constructions Limited","7(2)","Shrish Tapuria","Director","Equity Shares","10000000","6.45",,"600000","23304417","Sell","Equity Shares","9400000","6.06","11-Jun-2024","11-Jun-2024","11-Jun-2024","Others","-","-","0","0","0","0","NSE","-","11-Jun-2024 17:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165575_1156150_11062024050011_WEB.xml"
"SPYL","Shekhawati Poly-Yarn Limited","7(2)","SKI BUILDCON PRIVATE LIMITED","Promoter Group","Equity Shares","33000000","9.57",,"718771","3018838","Buy","Equity Shares","33718771","9.78","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","BSE","-","11-Jun-2024 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165574_1156146_11062024045934_WEB.xml"
"SPYL","Shekhawati Poly-Yarn Limited","7(2)","SKI BUILDCON PRIVATE LIMITED","Promoter Group","Equity Shares","33718771","9.78",,"15012","64251","Buy","Equity Shares","33733783","9.78","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","BSE","-","11-Jun-2024 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165574_1156146_11062024045934_WEB.xml"
"SPYL","Shekhawati Poly-Yarn Limited","7(2)","SKI BUILDCON PRIVATE LIMITED","Promoter Group","Equity Shares","33733783","9.78",,"266217","1160706","Buy","Equity Shares","34000000","9.86","11-Jun-2024","11-Jun-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","BSE","-","11-Jun-2024 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165574_1156146_11062024045934_WEB.xml"
"AGARWALFT","Agarwal Float Glass India Limited","7(2)","UMA SHANKAR AGARWAL","Promoters","Equity Shares","4895473","67.59",,"39000","2060799","Sell","Equity Shares","4856473","67.05","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:41","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165569_1156125_11062024044145_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Sumitra Devi Agarwal","Promoter Group","Equity Shares","1356429","0.64",,"25000","438750","Sell","Equity Shares","1331429","0.63","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165567_1156119_11062024043915_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Rajesh Kumar Agarwal","Promoters","Equity Shares","2953562","1.39",,"25000","438750","Sell","Equity Shares","2928562","1.38","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165565_1156115_11062024043625_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Rajesh Kumar Agarwal","Promoters","Equity Shares","2928562","1.38",,"7689","138402","Sell","Equity Shares","2920873","1.38","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165565_1156115_11062024043625_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Hari Prasad Agarwala & Ors.","Promoter Group","Equity Shares","1386408","0.65",,"25000","438750","Sell","Equity Shares","1361408","0.64","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165563_1156108_11062024043336_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Bhawna Agarwal","Promoter Group","Equity Shares","1111696","0.52",,"25000","438750","Sell","Equity Shares","1086696","0.51","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165560_1156101_11062024043047_WEB.xml"
"SYNGENE","Syngene International Limited","7(2)","SRIDEVI KHAMBHAMPATY","Employees/Designated Employees","Equity Shares","3411","0",,"1211","825902","Sell","Equity Shares","2200","0","06-Jun-2024","06-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165558_1156085_11062024041903_WEB.xml"
"SYNGENE","Syngene International Limited","7(2)","SRIDEVI KHAMBHAMPATY","Employees/Designated Employees","Equity Shares","4411","0",,"1000","677040","Sell","Equity Shares","3411","0","06-Jun-2024","06-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","11-Jun-2024 16:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165558_1156085_11062024041903_WEB.xml"
"PASHUPATI","Pashupati Cotspin Limited","7(2)","PASHUPATI TEXSPIN EXPORT LLP( Formerly known as Shree Pashupati Fabric LLP)","Employees/Designated Employees","Equity Shares","952800","6.23",,"68800","20533360","Sell","Equity Shares","884000","5.78","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165557_1156066_11062024040756_WEB.xml"
"TDPOWERSYS","TD Power Systems Limited","7(2)","S Prabhamani","Director","Equity Shares","293130","0.18",,"10000","3257384","Sell","Equity Shares","283130","0","06-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 16:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165555_1156063_11062024040613_WEB.xml"
"TDPOWERSYS","TD Power Systems Limited","7(2)","A Ganesha","-","Equity Shares","14299","0.01",,"4000","1362227","Sell","Equity Shares","10299","0","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","BSE","-","11-Jun-2024 16:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165555_1156063_11062024040613_WEB.xml"
"PASHUPATI","Pashupati Cotspin Limited","7(2)","PASHUPATI TEXSPIN EXPORT LLP( Formerly known as Shree Pashupati Fabric LLP)","Promoter Group","Equity Shares","1022400","6.69",,"69600","19723568","Sell","Equity Shares","952800","6.23","07-Jun-2024","07-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 15:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165553_1156053_11062024035612_WEB.xml"
"CHALET","Chalet Hotels Limited","7(2)","Urvi Aradhya","Employees/Designated Employees","Equity Shares","10383","0",,"2500","2015000","Sell","Equity Shares","7883","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 15:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165551_1156050_11062024035450_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2851409","1.04",,"22650","226500","Sell","Equity Shares","2828759","1.03","06-Jun-2024","06-Jun-2024","07-Jun-2024","ESOP","-","-","0","0","0","0","NA","-","11-Jun-2024 15:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165547_1156006_11062024030002_WEB.xml"
"KCEIL","Kay Cee Energy & Infra Limited","7(2)","LOKEDNRA JAIN","Promoters","Equity Shares","7561000","68.99",,"11000","2487150","Buy","Equity Shares","7572000","69.09","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","11-Jun-2024 14:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165545_1155991_11062024024446_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Mitesh Kothari","Employees/Designated Employees","Equity Shares","840","0",,"540","998623","Sell","Equity Shares","300","0","07-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 14:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165543_1155972_11062024020957_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Pradeep Kumar Singh","Employees/Designated Employees","Equity Shares","8000","0.01",,"2000","3777667","Sell","Equity Shares","6000","0.01","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 14:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165543_1155972_11062024020957_WEB.xml"
"TREL","Transindia Real Estate Limited","7(2)","Shashikiran Shetty","Promoters","Equity Shares","150559915","61.28",,"265814","10630698","Sell","Equity Shares","150294101","61.17","07-Jun-2024","07-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 13:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165541_1155959_11062024013833_WEB.xml"
"DLINKINDIA","D-Link (India) Limited","7(2)","MUKESH TIRTHDAS LULLA","Director","Equity Shares","2464777","6.94",,"56924","25399195","Sell","Equity Shares","2407853","6.78","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 13:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165539_1155948_11062024011107_WEB.xml"
"KANANIIND","Kanani Industries Limited","7(2)","HARSHIL PREMJIBHAI KANANI","Promoters","Equity Shares","95304294","48.17",,"4800000","15636451","Sell","Equity Shares","90504294","45.74","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 13:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165537_1155945_11062024010434_WEB.xml"
"GREAVESCOT","Greaves Cotton Limited","7(2)","NAGESH BASAVANHALLI","Director","Equity Shares","300700","0.13",,"150000","19249500","Sell","Equity Shares","150700","0.06","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 12:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165535_1155925_11062024123324_WEB.xml"
"KSCL","Kaveri Seed Company Limited","7(3)","Kaveri Employees Trust","-","Equity Shares","641521","1.25",,"75030","71239908","Sell","Equity Shares","566491","1.1","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NSE","-","11-Jun-2024 12:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165533_1155919_11062024122656_WEB.xml"
"KSCL","Kaveri Seed Company Limited","7(3)","Kaveri Employees Trust sold on behalf of Employees","-","Equity Shares","75030","0.15",,"75030","71239908","Sell","Equity Shares","Nil","0","07-Jun-2024","07-Jun-2024","10-Jun-2024","ESOP","-","-","0","0","0","0","NSE","-","11-Jun-2024 12:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165533_1155919_11062024122656_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Kainaz Khurshed Daruvala","Promoter Group","Equity Shares","13000200","5.57",,"280000","202300000","Pledge","Equity Shares","13000200","5.57","07-Jun-2024","07-Jun-2024","10-Jun-2024","Pledge Creation","-","-","0","0","0","0","NA","-","11-Jun-2024 11:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165530_1155892_11062024114516_WEB.xml"
"SERVOTECH","Servotech Power Systems Limited","7(2)","RAMAN BHATIA","Promoters","Equity Shares","67056900","30.08",,"100","8430","Buy","Equity Shares","67057000","30.08","10-Jun-2024","10-Jun-2024","11-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","11-Jun-2024 11:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165528_1155879_11062024113030_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","PARVATHA LEELAVATHI REDDY","Promoters","Equity Shares","721712","2.35",,"200000","0","Buy","Equity Shares","921712","3","08-Jun-2024","08-Jun-2024","08-Jun-2024","Gift","-","-","0","0","0","0","NA","-","11-Jun-2024 11:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165527_1155865_11062024111005_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","SARANYA LOKA REDDY","Promoters","Equity Shares","799666","2.59",,"200000","0","Sell","Equity Shares","599666","1.95","08-Jun-2024","08-Jun-2024","08-Jun-2024","Gift","-","-","0","0","0","0","NA","-","11-Jun-2024 11:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165527_1155865_11062024111005_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Prakash Nayak","-","Equity Shares","91155","0",,"3000","5250000","Sell","Equity Shares","88155","0","06-Jun-2024","06-Jun-2024","10-Jun-2024","Gift","-","-","0","0","0","0","NA","-","11-Jun-2024 10:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165525_1155860_11062024105426_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","SARANYA LOKA REDDY","Promoters","Equity Shares","989666","3.22",,"190000","326021814","Sell","Equity Shares","799666","2.59","06-Jun-2024","06-Jun-2024","07-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 10:39","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165523_1155853_11062024103919_WEB.xml"
"MPHASIS","MphasiS Limited","7(2)","BCP TOPCO IX PTE LTD","Promoters","Equity Shares","104799642","55.44",,"28500000","66798798446","Sell","Equity Shares","76299642","40.37","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","11-Jun-2024 10:34","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165521_1155849_11062024103435_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Pawan Mundhra","Employees/Designated Employees","Equity Shares","158860","0.04",,"6600","5273400","Sell","Equity Shares","152260","0.04","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Abhishek Shah","Employees/Designated Employees","Equity Shares","110669","0.03",,"6669","5334066","Sell","Equity Shares","104000","0.03","06-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Abhishek Shah","Employees/Designated Employees","Equity Shares","104000","0.03",,"5090","4122849","Sell","Equity Shares","98910","0.03","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","A. Pramod Kumar","Employees/Designated Employees","Equity Shares","178504","0.05",,"13200","10521720","Sell","Equity Shares","165304","0.05","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Girish Venkataraman","Employees/Designated Employees","Equity Shares","762748","0.21",,"23955","19164000","Sell","Equity Shares","738793","0.2","07-Jun-2024","07-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Girish Venkataraman","Employees/Designated Employees","Equity Shares","738793","0.2",,"31045","24971977","Sell","Equity Shares","707748","0.2","10-Jun-2024","10-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Prabhjot Cheema","Employees/Designated Employees","Equity Shares","109856","0.03",,"2000","1570000","Sell","Equity Shares","107856","0.03","06-Jun-2024","06-Jun-2024","10-Jun-2024","Market Sale","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165518_1155829_10062024102119_WEB.xml"
"MARCO","Marco Cables & Conductors Limited","7(2)","MANJU SUGNOMAL KUKREJA","Promoter Group","Equity Shares","802500","4.29",,"33000","1039421","Buy","Equity Shares","835500","4.47","04-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165517_1155827_10062024101845_WEB.xml"
"MARCO","Marco Cables & Conductors Limited","7(2)","Marco Cables & Conductors Limited","Promoter Group","Equity Shares","802500","4.29",,"33000","1039421","Buy","Equity Shares","835500","4.47","04-Jun-2024","07-Jun-2024","10-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 22:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165515_1155824_10062024100743_WEB.xml"
"EDELWEISS","Edelweiss Financial Services Limited","7(2)","Amit Agarwal","Employees/Designated Employees","Equity Shares","230000","0.02",,"20000","1322484","Buy","Equity Shares","250000","0.03","04-Jun-2024","04-Jun-2024","06-Jun-2024","Market Purchase","-","-","0","0","0","0","NSE","-","10-Jun-2024 20:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1165512_1155789_10062024080851_WEB.xml"
